"name"	"attr"	"type"
"Tywin Lannister"	"House Lannister"	"house"
"Willem Lannister"	"House Lannister"	"house"
"Aegon Targaryen"	"House Targaryen"	"house"
"Doran Martell"	"House Martell"	"house"
"Dorea Sand"	"House Martell"	"house"
"Elia Martell"	"House Martell"	"house"
"Elia Sand"	"House Martell"	"house"
"Ellaria Sand"	"House Uller"	"house"
"Loreza Sand"	"House Martell"	"house"
"Mellario of Norvos"	"House Norvos"	"house"
"Mors Martell"	"House Martell"	"house"
"Nymeria Sand"	"House Martell"	"house"
"Obara Sand"	"House Martell"	"house"
"Obella Sand"	"House Martell"	"house"
"Oberyn Martell"	"House Martell"	"house"
"Princess of Dorne"	"House Dorne"	"house"
"Rhaegar Targaryen"	"House Targaryen"	"house"
"Rhaenys Targaryen"	"House Targaryen"	"house"
"Sarella Sand"	"House Martell"	"house"
"Tyene Sand"	"House Martell"	"house"
"Alys Karstark"	"House Karstark"	"house"
"Arra Norrey"	"House Norrey"	"house"
"Artos Stark"	"House Stark"	"house"
"Arya Flint"	"House Flint"	"house"
"Arya Stark"	"House Stark"	"house"
"Benjen Stark"	"House Stark"	"house"
"Beron Stark"	"House Stark"	"house"
"Bran Stark"	"House Stark"	"house"
"Brandon Stark"	"House Stark"	"house"
"Brandon Stark Burner"	"House Stark"	"house"
"Brandon Stark"	"House Stark"	"house"
"Catelyn Stark"	"House Tully"	"house"
"Cregan Stark"	"House Stark"	"house"
"Eddard Stark"	"House Stark"	"house"
"Edwyle Stark"	"House Stark"	"house"
"Gilliane Glover"	"House Glover"	"house"
"Jeyne Westerling"	"House Westerling"	"house"
"Jon Snow"	"House Stark"	"house"
"Jonnel Stark"	"House Stark"	"house"
"Lorra Royce"	"House Royce"	"house"
"Lyanna Glover"	"House Glover"	"house"
"Lyanna Stark"	"House Stark"	"house"
"Lyarra Stark"	"House Stark"	"house"
"Lynara Stark"	"House Stark"	"house"
"Lysara Karstark"	"House Karstark"	"house"
"Marna Locke"	"House Locke"	"house"
"Melantha Blackwood"	"House Blackwood"	"house"
"Myriame Manderly"	"House Manderly"	"house"
"Ramsay Bolton"	"House Bolton"	"house"
"Rickard Stark"	"House Stark"	"house"
"Rickon Stark"	"House Stark"	"house"
"Rickon Stark"	"House Stark"	"house"
"Robb Stark"	"House Stark"	"house"
"Robyn Ryswell"	"House Ryswell"	"house"
"Rodrik Stark"	"House Stark"	"house"
"Rodrik Stark"	"House Stark"	"house"
"Rodwell Stark"	"House Stark"	"house"
"Talisa Stark"	"House Stark"	"house"
"Willam Stark"	"House Stark"	"house"
"Aegon V Targaryen"	"House Targaryen"	"house"
"Aerys II Targaryen"	"House Targaryen"	"house"
"Betha Blackwood"	"House Blackwood"	"house"
"Daenerys Targaryen"	"House Targaryen"	"house"
"Drogo"	"Dothraki"	"house"
"Duncan Targaryen"	"House Targaryen"	"house"
"Dyanna Dayne"	"House Dayne"	"house"
"Hizdahr zo Loraq"	"House Loraq"	"house"
"Jaehaerys II Targaryen"	"House Targaryen"	"house"
"Jenny of Oldstones"	"House Oldstones"	"house"
"Maekar I Targaryen"	"House Targaryen"	"house"
"Maron Martell"	"House Martell"	"house"
"Rhaella Targaryen"	"House Targaryen"	"house"
"Shaera Targaryen"	"House Targaryen"	"house"
"Viserys Targaryen"	"House Targaryen"	"house"
"Hoster Tully"	"House Tully"	"house"
"Minisa Whent"	"House Whent"	"house"
"Petyr Baelish"	"House Baelish"	"house"
"Alerie Hightower"	"House Hightower"	"house"
"Elinor Tyrell"	"House Tyrell"	"house"
"Elyn Norridge"	"House Norridge"	"house"
"Garlan Tyrell"	"House Tyrell"	"house"
"Hobber Redwyne"	"House Redwyne"	"house"
"Horas Redwyne"	"House Redwyne"	"house"
"Leo Blackbar"	"House Blackbar"	"house"
"Leonette Fossoway"	"House Fossoway"	"house"
"Lia Serry"	"House Serry"	"house"
"Loras Tyrell"	"House Tyrell"	"house"
"Luthor Tyrell"	"House Tyrell"	"house"
"Luthor Tyrell"	"House Tyrell"	"house"
"Luthor Tyrell"	"House Tyrell"	"house"
"Mace Tyrell"	"House Tyrell"	"house"
"Medwick Tyrell"	"House Tyrell"	"house"
"Mina Tyrell"	"House Tyrell"	"house"
"Moryn Tyrell"	"House Tyrell"	"house"
"Olene Tyrell"	"House Moryn"	"house"
"Olenna Redwyne"	"House Redwyne"	"house"
"Paxter Redwyne"	"House Redwyne"	"house"
"Theodore Tyrell"	"House Tyrell"	"house"
"Unknown father Tyrell"	"House Tyrell"	"house"
"Unknown mother Tyrell"	"House Tyrell"	"house"
"Willas Tyrell"	"House Tyrell"	"house"
"Baelish (father of Petyr)" "Petyr Baelish" "children"
"Selwyn Tarth"  "Brienne of Tarth"  "father"
"Craster" "Craster" "house"
"Grey Worm" "Missandei" "lovers"
"Paramour" "Ellaria Sand" "lovers"
"Marya Seaworth"  "Davos Seaworth"  "spouse"
"Randyll Tarly" "Samwell Tarly" "children"
"Melessa Florent"  "Samwell Tarly" "children"
"Walda Bolton"  "Bolton (son of Roose)" "children"
"Terrence Toyne"  "Bethany Bracken" "lovers"
"Medger Cerwyn" "Cley Cerwyn" "father"
"Rickard Karstark"  "Torrhen Karstark"  "children"
"Moro"  "Moro's wife 2" "spouse"


